P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName
067	537746	537746	expenseCategory	D	food	PT_Group35491	PT_Sup35491	PT_Add35491	PT_ContactName35491	PT_EMAIL01@test.com	PT_Phone35491	PT_SampleNotes35491	NSPT35491	PT36690	PT_Prod35491	25	5	CS	Dairy
067	537753	537753	expenseCategory	F	food	PT_Group35492	PT_Sup35492	PT_Add35492	PT_ContactName35492	PT_EMAIL02@test.com	PT_Phone35492	PT_SampleNotes35492	NSPT35492	PT36691	PT_Prod35492	10	5	EA	Paper Towel
067	537761	537761	expenseCategory	D	nonFood	PT_Group35493	PT_Sup35493	PT_Add35493	PT_ContactName35493	PT_EMAIL01@test.com	PT_Phone35493	PT_SampleNotes35493	NSPT35493	PT36692	PT_Prod35493	12	5	CS	Paper Towel
067	537779	537779	expenseCategory	F	food	PT_Group35494	PT_Sup35494	PT_Add35494	PT_ContactName35494	PT_EMAIL02@test.com	PT_Phone35494	PT_SampleNotes35494	NSPT35494	PT36693	PT_Prod35494	15	5	EA	Paper Towel
067	537787	537787	location	C	food	PT_Group35495	PT_Sup35495	PT_Add35495	PT_ContactName35495	PT_EMAIL01@test.com	PT_Phone35495	PT_SampleNotes35495	NSPT35495	PT36694	PT_Prod35495	18	5	CS	Dairy
067	537795	537795	expenseCategory	D	food	PT_Group35496	PT_Sup35496	PT_Add35496	PT_ContactName35496	PT_EMAIL02@test.com	PT_Phone35496	PT_SampleNotes35496	NSPT35496	PT36695	PT_Prod35496	30	5	EA	Paper Towel
067	537803	537803	expenseCategory	F	food	PT_Group35497	PT_Sup35497	PT_Add35497	PT_ContactName35497	PT_EMAIL01@test.com	PT_Phone35497	PT_SampleNotes35497	NSPT35497	PT36696	PT_Prod35497	15	5	CS	Paper Towel
067	537811	537811	expenseCategory	D	nonFood	PT_Group35498	PT_Sup35498	PT_Add35498	PT_ContactName35498	PT_EMAIL02@test.com	PT_Phone35498	PT_SampleNotes35498	NSPT35498	PT36697	PT_Prod35498	20	5	EA	Meat
067	537829	537829	expenseCategory	F	food	PT_Group35499	PT_Sup35499	PT_Add35499	PT_ContactName35499	PT_EMAIL01@test.com	PT_Phone35499	PT_SampleNotes35499	NSPT35499	PT36698	PT_Prod35499	12	5	CS	Meat
067	537837	537837	expenseCategory	C	food	PT_Group35500	PT_Sup35500	PT_Add35500	PT_ContactName35500	PT_EMAIL02@test.com	PT_Phone35500	PT_SampleNotes35500	NSPT35500	PT36699	PT_Prod35500	15	5	EA	Meat
067	537845	537845	expenseCategory	D	food	PT_Group35501	PT_Sup35501	PT_Add35501	PT_ContactName35501	PT_EMAIL01@test.com	PT_Phone35501	PT_SampleNotes35501	NSPT35501	PT36700	PT_Prod35501	12	5	CS	Meat
067	537852	537852	location	F	food	PT_Group35502	PT_Sup35502	PT_Add35502	PT_ContactName35502	PT_EMAIL02@test.com	PT_Phone35502	PT_SampleNotes35502	NSPT35502	PT36701	PT_Prod35502	15	5	EA	Meat
067	537860	537860	expenseCategory	D	nonFood	PT_Group35503	PT_Sup35503	PT_Add35503	PT_ContactName35503	PT_EMAIL01@test.com	PT_Phone35503	PT_SampleNotes35503	NSPT35503	PT36702	PT_Prod35503	16	5	CS	Meat
067	537878	537878	expenseCategory	F	food	PT_Group35504	PT_Sup35504	PT_Add35504	PT_ContactName35504	PT_EMAIL02@test.com	PT_Phone35504	PT_SampleNotes35504	NSPT35504	PT36703	PT_Prod35504	20	5	EA	Dairy
067	537886	537886	expenseCategory	C	food	PT_Group35505	PT_Sup35505	PT_Add35505	PT_ContactName35505	PT_EMAIL01@test.com	PT_Phone35505	PT_SampleNotes35505	NSPT35505	PT36704	PT_Prod35505	25	5	CS	Dairy
067	537894	537894	expenseCategory	D	food	PT_Group35506	PT_Sup35506	PT_Add35506	PT_ContactName35506	PT_EMAIL02@test.com	PT_Phone35506	PT_SampleNotes35506	NSPT35506	PT36705	PT_Prod35506	10	5	EA	Dairy
067	537902	537902	expenseCategory	F	food	PT_Group35507	PT_Sup35507	PT_Add35507	PT_ContactName35507	PT_EMAIL01@test.com	PT_Phone35507	PT_SampleNotes35507	NSPT35507	PT36706	PT_Prod35507	12	5	CS	Paper Towel
067	537910	537910	expenseCategory	D	nonFood	PT_Group35508	PT_Sup35508	PT_Add35508	PT_ContactName35508	PT_EMAIL02@test.com	PT_Phone35508	PT_SampleNotes35508	NSPT35508	PT36707	PT_Prod35508	15	5	EA	Paper Towel
067	537928	537928	expenseCategory	F	food	PT_Group35509	PT_Sup35509	PT_Add35509	PT_ContactName35509	PT_EMAIL01@test.com	PT_Phone35509	PT_SampleNotes35509	NSPT35509	PT36708	PT_Prod35509	18	5	CS	Paper Towel
067	537936	537936	expenseCategory	C	food	PT_Group35510	PT_Sup35510	PT_Add35510	PT_ContactName35510	PT_EMAIL02@test.com	PT_Phone35510	PT_SampleNotes35510	NSPT35510	PT36709	PT_Prod35510	30	5	EA	Paper Towel
067	537944	537944	location	D	food	PT_Group35511	PT_Sup35511	PT_Add35511	PT_ContactName35511	PT_EMAIL01@test.com	PT_Phone35511	PT_SampleNotes35511	NSPT35511	PT36710	PT_Prod35511	15	5	CS	Dairy
067	537951	537951	expenseCategory	F	food	PT_Group35512	PT_Sup35512	PT_Add35512	PT_ContactName35512	PT_EMAIL02@test.com	PT_Phone35512	PT_SampleNotes35512	NSPT35512	PT36711	PT_Prod35512	20	5	EA	Paper Towel
067	537969	537969	expenseCategory	D	nonFood	PT_Group35513	PT_Sup35513	PT_Add35513	PT_ContactName35513	PT_EMAIL01@test.com	PT_Phone35513	PT_SampleNotes35513	NSPT35513	PT36712	PT_Prod35513	12	5	CS	Meat
067	537977	537977	expenseCategory	F	food	PT_Group35514	PT_Sup35514	PT_Add35514	PT_ContactName35514	PT_EMAIL02@test.com	PT_Phone35514	PT_SampleNotes35514	NSPT35514	PT36713	PT_Prod35514	15	5	EA	Meat
067	537985	537985	expenseCategory	C	food	PT_Group35515	PT_Sup35515	PT_Add35515	PT_ContactName35515	PT_EMAIL01@test.com	PT_Phone35515	PT_SampleNotes35515	NSPT35515	PT36714	PT_Prod35515	16	5	CS	Meat
067	537993	537993	location	D	food	PT_Group35516	PT_Sup35516	PT_Add35516	PT_ContactName35516	PT_EMAIL02@test.com	PT_Phone35516	PT_SampleNotes35516	NSPT35516	PT36715	PT_Prod35516	20	5	EA	Dairy
067	538009	538009	expenseCategory	F	food	PT_Group35517	PT_Sup35517	PT_Add35517	PT_ContactName35517	PT_EMAIL01@test.com	PT_Phone35517	PT_SampleNotes35517	NSPT35517	PT36716	PT_Prod35517	25	5	CS	Dairy
067	538017	538017	expenseCategory	D	nonFood	PT_Group35518	PT_Sup35518	PT_Add35518	PT_ContactName35518	PT_EMAIL02@test.com	PT_Phone35518	PT_SampleNotes35518	NSPT35518	PT36717	PT_Prod35518	10	5	EA	Dairy
067	538025	538025	expenseCategory	F	food	PT_Group35519	PT_Sup35519	PT_Add35519	PT_ContactName35519	PT_EMAIL01@test.com	PT_Phone35519	PT_SampleNotes35519	NSPT35519	PT36718	PT_Prod35519	12	5	CS	Paper Towel
067	538033	538033	expenseCategory	C	food	PT_Group35520	PT_Sup35520	PT_Add35520	PT_ContactName35520	PT_EMAIL02@test.com	PT_Phone35520	PT_SampleNotes35520	NSPT35520	PT36719	PT_Prod35520	15	5	EA	Paper Towel
067	538041	538041	expenseCategory	D	food	PT_Group35521	PT_Sup35521	PT_Add35521	PT_ContactName35521	PT_EMAIL01@test.com	PT_Phone35521	PT_SampleNotes35521	NSPT35521	PT36720	PT_Prod35521	18	5	CS	Paper Towel
067	538058	538058	expenseCategory	F	food	PT_Group35522	PT_Sup35522	PT_Add35522	PT_ContactName35522	PT_EMAIL02@test.com	PT_Phone35522	PT_SampleNotes35522	NSPT35522	PT36721	PT_Prod35522	30	5	EA	Paper Towel
067	538066	538066	expenseCategory	D	nonFood	PT_Group35523	PT_Sup35523	PT_Add35523	PT_ContactName35523	PT_EMAIL01@test.com	PT_Phone35523	PT_SampleNotes35523	NSPT35523	PT36722	PT_Prod35523	15	5	CS	Meat
067	538074	538074	location	F	food	PT_Group35524	PT_Sup35524	PT_Add35524	PT_ContactName35524	PT_EMAIL02@test.com	PT_Phone35524	PT_SampleNotes35524	NSPT35524	PT36723	PT_Prod35524	20	5	EA	Meat
067	538082	538082	expenseCategory	C	food	PT_Group35525	PT_Sup35525	PT_Add35525	PT_ContactName35525	PT_EMAIL01@test.com	PT_Phone35525	PT_SampleNotes35525	NSPT35525	PT36724	PT_Prod35525	12	5	CS	Meat
067	538090	538090	expenseCategory	D	food	PT_Group35526	PT_Sup35526	PT_Add35526	PT_ContactName35526	PT_EMAIL02@test.com	PT_Phone35526	PT_SampleNotes35526	NSPT35526	PT36725	PT_Prod35526	15	5	EA	Dairy
067	538108	538108	expenseCategory	F	food	PT_Group35527	PT_Sup35527	PT_Add35527	PT_ContactName35527	PT_EMAIL01@test.com	PT_Phone35527	PT_SampleNotes35527	NSPT35527	PT36726	PT_Prod35527	16	5	CS	Dairy
067	538116	538116	expenseCategory	D	nonFood	PT_Group35528	PT_Sup35528	PT_Add35528	PT_ContactName35528	PT_EMAIL02@test.com	PT_Phone35528	PT_SampleNotes35528	NSPT35528	PT36727	PT_Prod35528	20	5	EA	Dairy
067	538124	538124	expenseCategory	F	food	PT_Group35529	PT_Sup35529	PT_Add35529	PT_ContactName35529	PT_EMAIL01@test.com	PT_Phone35529	PT_SampleNotes35529	NSPT35529	PT36728	PT_Prod35529	25	5	CS	Paper Towel
067	538132	538132	expenseCategory	C	food	PT_Group35530	PT_Sup35530	PT_Add35530	PT_ContactName35530	PT_EMAIL02@test.com	PT_Phone35530	PT_SampleNotes35530	NSPT35530	PT36729	PT_Prod35530	10	5	EA	Paper Towel
067	538140	538140	expenseCategory	D	food	PT_Group35531	PT_Sup35531	PT_Add35531	PT_ContactName35531	PT_EMAIL01@test.com	PT_Phone35531	PT_SampleNotes35531	NSPT35531	PT36730	PT_Prod35531	12	5	CS	Paper Towel
067	538157	538157	location	F	food	PT_Group35532	PT_Sup35532	PT_Add35532	PT_ContactName35532	PT_EMAIL02@test.com	PT_Phone35532	PT_SampleNotes35532	NSPT35532	PT36731	PT_Prod35532	15	5	EA	Paper Towel
067	538165	538165	expenseCategory	D	nonFood	PT_Group35533	PT_Sup35533	PT_Add35533	PT_ContactName35533	PT_EMAIL01@test.com	PT_Phone35533	PT_SampleNotes35533	NSPT35533	PT36732	PT_Prod35533	18	5	CS	Dairy
067	538173	538173	expenseCategory	F	food	PT_Group35534	PT_Sup35534	PT_Add35534	PT_ContactName35534	PT_EMAIL02@test.com	PT_Phone35534	PT_SampleNotes35534	NSPT35534	PT36733	PT_Prod35534	30	5	EA	Paper Towel
067	538181	538181	expenseCategory	C	food	PT_Group35535	PT_Sup35535	PT_Add35535	PT_ContactName35535	PT_EMAIL01@test.com	PT_Phone35535	PT_SampleNotes35535	NSPT35535	PT36734	PT_Prod35535	15	5	CS	Paper Towel
067	538199	538199	expenseCategory	D	food	PT_Group35536	PT_Sup35536	PT_Add35536	PT_ContactName35536	PT_EMAIL02@test.com	PT_Phone35536	PT_SampleNotes35536	NSPT35536	PT36735	PT_Prod35536	20	5	EA	Meat
067	538207	538207	expenseCategory	F	food	PT_Group35537	PT_Sup35537	PT_Add35537	PT_ContactName35537	PT_EMAIL01@test.com	PT_Phone35537	PT_SampleNotes35537	NSPT35537	PT36736	PT_Prod35537	12	5	CS	Meat
067	538215	538215	expenseCategory	D	nonFood	PT_Group35538	PT_Sup35538	PT_Add35538	PT_ContactName35538	PT_EMAIL02@test.com	PT_Phone35538	PT_SampleNotes35538	NSPT35538	PT36737	PT_Prod35538	15	5	EA	Meat
067	538223	538223	location	F	food	PT_Group35539	PT_Sup35539	PT_Add35539	PT_ContactName35539	PT_EMAIL01@test.com	PT_Phone35539	PT_SampleNotes35539	NSPT35539	PT36738	PT_Prod35539	16	5	CS	Dairy
067	538231	538231	expenseCategory	C	food	PT_Group35540	PT_Sup35540	PT_Add35540	PT_ContactName35540	PT_EMAIL02@test.com	PT_Phone35540	PT_SampleNotes35540	NSPT35540	PT36739	PT_Prod35540	20	5	EA	Dairy
067	538249	538249	expenseCategory	D	food	PT_Group35541	PT_Sup35541	PT_Add35541	PT_ContactName35541	PT_EMAIL01@test.com	PT_Phone35541	PT_SampleNotes35541	NSPT35541	PT36740	PT_Prod35541	25	5	CS	Dairy
067	538256	538256	expenseCategory	F	food	PT_Group35542	PT_Sup35542	PT_Add35542	PT_ContactName35542	PT_EMAIL02@test.com	PT_Phone35542	PT_SampleNotes35542	NSPT35542	PT36741	PT_Prod35542	10	5	EA	Paper Towel
067	538264	538264	expenseCategory	D	nonFood	PT_Group35543	PT_Sup35543	PT_Add35543	PT_ContactName35543	PT_EMAIL01@test.com	PT_Phone35543	PT_SampleNotes35543	NSPT35543	PT36742	PT_Prod35543	12	5	CS	Paper Towel
067	538272	538272	expenseCategory	F	food	PT_Group35544	PT_Sup35544	PT_Add35544	PT_ContactName35544	PT_EMAIL02@test.com	PT_Phone35544	PT_SampleNotes35544	NSPT35544	PT36743	PT_Prod35544	15	5	EA	Paper Towel
067	538280	538280	expenseCategory	C	food	PT_Group35545	PT_Sup35545	PT_Add35545	PT_ContactName35545	PT_EMAIL01@test.com	PT_Phone35545	PT_SampleNotes35545	NSPT35545	PT36744	PT_Prod35545	18	5	CS	Dairy
067	538298	538298	expenseCategory	D	food	PT_Group35546	PT_Sup35546	PT_Add35546	PT_ContactName35546	PT_EMAIL02@test.com	PT_Phone35546	PT_SampleNotes35546	NSPT35546	PT36745	PT_Prod35546	30	5	EA	Paper Towel
067	538306	538306	expenseCategory	F	food	PT_Group35547	PT_Sup35547	PT_Add35547	PT_ContactName35547	PT_EMAIL01@test.com	PT_Phone35547	PT_SampleNotes35547	NSPT35547	PT36746	PT_Prod35547	15	5	CS	Paper Towel
067	538314	538314	location	D	nonFood	PT_Group35548	PT_Sup35548	PT_Add35548	PT_ContactName35548	PT_EMAIL02@test.com	PT_Phone35548	PT_SampleNotes35548	NSPT35548	PT36747	PT_Prod35548	20	5	EA	Meat
067	538322	538322	expenseCategory	F	food	PT_Group35549	PT_Sup35549	PT_Add35549	PT_ContactName35549	PT_EMAIL01@test.com	PT_Phone35549	PT_SampleNotes35549	NSPT35549	PT36748	PT_Prod35549	12	5	CS	Meat
067	538348	538348	expenseCategory	C	food	PT_Group35550	PT_Sup35550	PT_Add35550	PT_ContactName35550	PT_EMAIL02@test.com	PT_Phone35550	PT_SampleNotes35550	NSPT35550	PT36749	PT_Prod35550	15	5	EA	Meat
067	538355	538355	expenseCategory	D	food	PT_Group35551	PT_Sup35551	PT_Add35551	PT_ContactName35551	PT_EMAIL01@test.com	PT_Phone35551	PT_SampleNotes35551	NSPT35551	PT36750	PT_Prod35551	12	5	CS	Meat
067	538363	538363	expenseCategory	F	food	PT_Group35552	PT_Sup35552	PT_Add35552	PT_ContactName35552	PT_EMAIL02@test.com	PT_Phone35552	PT_SampleNotes35552	NSPT35552	PT36751	PT_Prod35552	15	5	EA	Meat
067	538371	538371	expenseCategory	D	nonFood	PT_Group35553	PT_Sup35553	PT_Add35553	PT_ContactName35553	PT_EMAIL01@test.com	PT_Phone35553	PT_SampleNotes35553	NSPT35553	PT36752	PT_Prod35553	16	5	CS	Meat
067	538389	538389	expenseCategory	F	food	PT_Group35554	PT_Sup35554	PT_Add35554	PT_ContactName35554	PT_EMAIL02@test.com	PT_Phone35554	PT_SampleNotes35554	NSPT35554	PT36753	PT_Prod35554	20	5	EA	Dairy
067	538397	538397	location	C	food	PT_Group35555	PT_Sup35555	PT_Add35555	PT_ContactName35555	PT_EMAIL01@test.com	PT_Phone35555	PT_SampleNotes35555	NSPT35555	PT36754	PT_Prod35555	25	5	CS	Dairy
067	538405	538405	expenseCategory	D	food	PT_Group35556	PT_Sup35556	PT_Add35556	PT_ContactName35556	PT_EMAIL02@test.com	PT_Phone35556	PT_SampleNotes35556	NSPT35556	PT36755	PT_Prod35556	10	5	EA	Dairy
067	538413	538413	expenseCategory	F	food	PT_Group35557	PT_Sup35557	PT_Add35557	PT_ContactName35557	PT_EMAIL01@test.com	PT_Phone35557	PT_SampleNotes35557	NSPT35557	PT36756	PT_Prod35557	12	5	CS	Paper Towel
067	538421	538421	expenseCategory	D	nonFood	PT_Group35558	PT_Sup35558	PT_Add35558	PT_ContactName35558	PT_EMAIL02@test.com	PT_Phone35558	PT_SampleNotes35558	NSPT35558	PT36757	PT_Prod35558	15	5	EA	Paper Towel
067	538439	538439	expenseCategory	F	food	PT_Group35559	PT_Sup35559	PT_Add35559	PT_ContactName35559	PT_EMAIL01@test.com	PT_Phone35559	PT_SampleNotes35559	NSPT35559	PT36758	PT_Prod35559	18	5	CS	Paper Towel
