P_OpCo	P_CustomerID	P_UserID	P_Location	P_StorageName	P_FoodType	P_GroupName	P_SupplierName	P_Address	P_ContactName	P_Email	P_PhoneNumber	P_Notes	P_ProductName	P_MaterialID	P_Brand	P_AvgWtPerCase	P_PackPerSize	P_UOM	P_CategoryName
067	166850	166850	expenseCategory	D	nonFood	PT_Group12417	PT_Sup12417	PT_Add12417	PT_ContactName12417	PT_EMAIL01@test.com	PT_Phone12417	PT_SampleNotes12417	NSPT12417	PT13616	PT_Prod12417	25	5	CS	Dairy
067	166868	166868	expenseCategory	F	food	PT_Group12418	PT_Sup12418	PT_Add12418	PT_ContactName12418	PT_EMAIL02@test.com	PT_Phone12418	PT_SampleNotes12418	NSPT12418	PT13617	PT_Prod12418	10	5	EA	Dairy
067	166876	166876	location	C	food	PT_Group12419	PT_Sup12419	PT_Add12419	PT_ContactName12419	PT_EMAIL01@test.com	PT_Phone12419	PT_SampleNotes12419	NSPT12419	PT13618	PT_Prod12419	12	5	CS	Paper Towel
067	166884	166884	expenseCategory	D	food	PT_Group12420	PT_Sup12420	PT_Add12420	PT_ContactName12420	PT_EMAIL02@test.com	PT_Phone12420	PT_SampleNotes12420	NSPT12420	PT13619	PT_Prod12420	15	5	EA	Paper Towel
067	166892	166892	expenseCategory	F	food	PT_Group12421	PT_Sup12421	PT_Add12421	PT_ContactName12421	PT_EMAIL01@test.com	PT_Phone12421	PT_SampleNotes12421	NSPT12421	PT13620	PT_Prod12421	18	5	CS	Paper Towel
067	166900	166900	expenseCategory	D	nonFood	PT_Group12422	PT_Sup12422	PT_Add12422	PT_ContactName12422	PT_EMAIL02@test.com	PT_Phone12422	PT_SampleNotes12422	NSPT12422	PT13621	PT_Prod12422	30	5	EA	Paper Towel
067	166918	166918	expenseCategory	F	food	PT_Group12423	PT_Sup12423	PT_Add12423	PT_ContactName12423	PT_EMAIL01@test.com	PT_Phone12423	PT_SampleNotes12423	NSPT12423	PT13622	PT_Prod12423	15	5	CS	Meat
067	166926	166926	expenseCategory	C	food	PT_Group12424	PT_Sup12424	PT_Add12424	PT_ContactName12424	PT_EMAIL02@test.com	PT_Phone12424	PT_SampleNotes12424	NSPT12424	PT13623	PT_Prod12424	20	5	EA	Meat
067	166934	166934	expenseCategory	D	food	PT_Group12425	PT_Sup12425	PT_Add12425	PT_ContactName12425	PT_EMAIL01@test.com	PT_Phone12425	PT_SampleNotes12425	NSPT12425	PT13624	PT_Prod12425	12	5	CS	Meat
067	166942	166942	expenseCategory	F	food	PT_Group12426	PT_Sup12426	PT_Add12426	PT_ContactName12426	PT_EMAIL02@test.com	PT_Phone12426	PT_SampleNotes12426	NSPT12426	PT13625	PT_Prod12426	15	5	EA	Dairy
067	166959	166959	expenseCategory	D	nonFood	PT_Group12427	PT_Sup12427	PT_Add12427	PT_ContactName12427	PT_EMAIL01@test.com	PT_Phone12427	PT_SampleNotes12427	NSPT12427	PT13626	PT_Prod12427	16	5	CS	Dairy
067	166967	166967	location	F	food	PT_Group12428	PT_Sup12428	PT_Add12428	PT_ContactName12428	PT_EMAIL02@test.com	PT_Phone12428	PT_SampleNotes12428	NSPT12428	PT13627	PT_Prod12428	20	5	EA	Dairy
067	166975	166975	expenseCategory	C	food	PT_Group12429	PT_Sup12429	PT_Add12429	PT_ContactName12429	PT_EMAIL01@test.com	PT_Phone12429	PT_SampleNotes12429	NSPT12429	PT13628	PT_Prod12429	25	5	CS	Paper Towel
067	166983	166983	expenseCategory	D	food	PT_Group12430	PT_Sup12430	PT_Add12430	PT_ContactName12430	PT_EMAIL02@test.com	PT_Phone12430	PT_SampleNotes12430	NSPT12430	PT13629	PT_Prod12430	10	5	EA	Paper Towel
067	166991	166991	expenseCategory	F	food	PT_Group12431	PT_Sup12431	PT_Add12431	PT_ContactName12431	PT_EMAIL01@test.com	PT_Phone12431	PT_SampleNotes12431	NSPT12431	PT13630	PT_Prod12431	12	5	CS	Paper Towel
067	167015	167015	expenseCategory	D	nonFood	PT_Group12432	PT_Sup12432	PT_Add12432	PT_ContactName12432	PT_EMAIL02@test.com	PT_Phone12432	PT_SampleNotes12432	NSPT12432	PT13631	PT_Prod12432	15	5	EA	Paper Towel
067	167023	167023	expenseCategory	F	food	PT_Group12433	PT_Sup12433	PT_Add12433	PT_ContactName12433	PT_EMAIL01@test.com	PT_Phone12433	PT_SampleNotes12433	NSPT12433	PT13632	PT_Prod12433	18	5	CS	Dairy
067	167049	167049	location	C	food	PT_Group12434	PT_Sup12434	PT_Add12434	PT_ContactName12434	PT_EMAIL02@test.com	PT_Phone12434	PT_SampleNotes12434	NSPT12434	PT13633	PT_Prod12434	30	5	EA	Paper Towel
067	167056	167056	expenseCategory	D	food	PT_Group12435	PT_Sup12435	PT_Add12435	PT_ContactName12435	PT_EMAIL01@test.com	PT_Phone12435	PT_SampleNotes12435	NSPT12435	PT13634	PT_Prod12435	15	5	CS	Paper Towel
067	167064	167064	expenseCategory	F	food	PT_Group12436	PT_Sup12436	PT_Add12436	PT_ContactName12436	PT_EMAIL02@test.com	PT_Phone12436	PT_SampleNotes12436	NSPT12436	PT13635	PT_Prod12436	20	5	EA	Meat
067	167098	167098	expenseCategory	D	nonFood	PT_Group12437	PT_Sup12437	PT_Add12437	PT_ContactName12437	PT_EMAIL01@test.com	PT_Phone12437	PT_SampleNotes12437	NSPT12437	PT13636	PT_Prod12437	12	5	CS	Meat
067	167106	167106	expenseCategory	F	food	PT_Group12438	PT_Sup12438	PT_Add12438	PT_ContactName12438	PT_EMAIL02@test.com	PT_Phone12438	PT_SampleNotes12438	NSPT12438	PT13637	PT_Prod12438	15	5	EA	Meat
067	167114	167114	expenseCategory	C	food	PT_Group12439	PT_Sup12439	PT_Add12439	PT_ContactName12439	PT_EMAIL01@test.com	PT_Phone12439	PT_SampleNotes12439	NSPT12439	PT13638	PT_Prod12439	16	5	CS	Dairy
067	167122	167122	expenseCategory	D	food	PT_Group12440	PT_Sup12440	PT_Add12440	PT_ContactName12440	PT_EMAIL02@test.com	PT_Phone12440	PT_SampleNotes12440	NSPT12440	PT13639	PT_Prod12440	20	5	EA	Dairy
067	167130	167130	location	F	food	PT_Group12441	PT_Sup12441	PT_Add12441	PT_ContactName12441	PT_EMAIL01@test.com	PT_Phone12441	PT_SampleNotes12441	NSPT12441	PT13640	PT_Prod12441	25	5	CS	Dairy
