P_Sys_Opco	P_SyscoID	P_SyscoProdID
067	000349	0012195
067	000349	0017277
067	000349	0026666
067	000349	0027714
067	000349	0029033
067	000349	0029231
067	000349	0030627
067	000349	0031062
067	000349	0031070
067	000349	0031542
067	000349	0038521
067	000349	0042051
067	000349	0045997
067	000349	0046730
067	000349	0050005
067	000349	0050351
067	000349	0051466
067	000349	0052357
067	000349	0056416
067	000349	0056556
067	000349	0058149
067	000349	0058172
067	000349	0058255
067	000349	0058354
067	000349	0058404
067	000349	0058511
067	000349	0059089
067	000349	0059204
067	000349	0059238
067	000349	0059246
067	000349	0059345
067	000349	0059428
067	000349	0059451
067	000349	0059493
067	000349	0059519
067	000349	0062869
067	000349	0063180
067	000349	0063214
067	000349	0066803
067	000349	0066993
067	000349	0067124
067	000349	0068882
067	000349	0068924
067	000349	0068932
067	000349	0068940
067	000349	0070268
067	000349	0072116
067	000349	0072157
067	000349	0072744
067	000349	0072777
067	000349	0072785
067	000349	0072819
067	000349	0072827
067	000349	0072918
067	000349	0073056
067	000349	0073064
067	000349	0073080
067	000349	0073106
067	000349	0073155
067	000349	0073387
067	000349	0075317
067	000349	0076448
067	000349	0076620
067	000349	0077925
067	000349	0077966
067	000349	0078030
067	000349	0078071
067	000349	0078113
067	000349	0078923
067	000349	0079095
067	000349	0081349
067	000349	0082628
067	000349	0082644
067	000349	0084616
067	000349	0086652
067	000349	0087320
067	000349	0088153
067	000349	0088294
067	000349	0088450
067	000349	0088484
067	000349	0092429
067	000349	0099804
067	000349	0099895
067	000349	0100370
067	000349	0100412
067	000349	0100560
067	000349	0100586
067	000349	0100628
067	000349	0100669
067	000349	0100677
067	000349	0100743
067	000349	0100750
067	000349	0100768
067	000349	0101501
067	000349	0101543
067	000349	0101592
067	000349	0101626
067	000349	0101642
067	000349	0101667
067	000349	0101675
067	000349	0101709
067	000349	0101717
067	000349	0101725
067	000349	0102004
067	000349	0102020
067	000349	0102194
067	000349	0102756
067	000349	0103366
067	000349	0104059
067	000349	0104497
067	000349	0104505
067	000349	0104521
067	000349	0105510
067	000349	0106369
067	000349	0108688
067	000349	0109843
067	000349	0109876
067	000349	0109884
067	000349	0109975
067	000349	0110759
067	000349	0110783
067	000349	0111344
067	000349	0111633
067	000349	0111666
067	000349	0113704
067	000349	0114025
067	000349	0114421
067	000349	0115428
067	000349	0118018
067	000349	0119578
067	000349	0123034
067	000349	0124529
067	000349	0124636
067	000349	0124677
067	000349	0128280
067	000349	0132639
067	000349	0133421
067	000349	0134122
067	000349	0134304
067	000349	0138818
067	000349	0138834
067	000349	0146993
067	000349	0152199
067	000349	0152710
067	000349	0153585
067	000349	0154054
067	000349	0154138
067	000349	0154146
067	000349	0155531
067	000349	0156828
067	000349	0160689
067	000349	0161422
067	000349	0167767
067	000349	0173153
067	000349	0180281
067	000349	0205419
067	000349	0206235
067	000349	0211888
067	000349	0220079
067	000349	0227819
067	000349	0229112
067	000349	0230995
067	000349	0231316
067	000349	0231472
067	000349	0231548
067	000349	0231613
067	000349	0231654
067	000349	0233197
067	000349	0233585
067	000349	0237552
067	000349	0245167
067	000349	0255901
067	000349	0257857
067	000349	0258863
067	000349	0265983
067	000349	0267153
067	000349	0267666
067	000349	0269704
067	000349	0271791
067	000349	0271809
067	000349	0276055
067	000349	0283309
067	000349	0293076
067	000349	0293092
067	000349	0293142
067	000349	0293183
067	000349	0294579
067	000349	0295659
067	000349	0295691
067	000349	0295899
067	000349	0308833
067	000349	0310474
067	000349	0313205
067	000349	0316836
067	000349	0319756
067	000349	0325530
067	000349	0328393
067	000349	0331843
067	000349	0333039
067	000349	0333054
067	000349	0333138
067	000349	0333450
067	000349	0336362
067	000349	0340661
067	000349	0345942
067	000349	0347112
067	000349	0347955
067	000349	0350322
067	000349	0350330
067	000349	0352310
067	000349	0353086
067	000349	0353342
067	000349	0364869
067	000349	0364927
067	000349	0367409
067	000349	0368332
067	000349	0374173
067	000349	0374736
067	000349	0375394
067	000349	0375915
067	000349	0376749
067	000349	0377242
067	000349	0377424
067	000349	0377911
067	000349	0378588
067	000349	0378877
067	000349	0381996
067	000349	0382820
067	000349	0386078
067	000349	0387548
067	000349	0387639
067	000349	0402107
067	000349	0405969
067	000349	0410639
067	000349	0415240
067	000349	0419259
067	000349	0420778
067	000349	0424457
067	000349	0424564
067	000349	0424606
067	000349	0424648
067	000349	0424887
067	000349	0425025
067	000349	0425389
067	000349	0425751
067	000349	0426866
067	000349	0426874
067	000349	0427757
067	000349	0427765
067	000349	0429555
067	000349	0432666
067	000349	0441279
067	000349	0444497
067	000349	0452805
067	000349	0453431
067	000349	0453746
067	000349	0454033
067	000349	0461756
067	000349	0469544
067	000349	0470575
067	000349	0473660
067	000349	0474692
067	000349	0477448
067	000349	0477513
067	000349	0477604
067	000349	0480574
067	000349	0486357
067	000349	0488171
067	000349	0491258
067	000349	0491365
067	000349	0491613
067	000349	0491878
067	000349	0491902
067	000349	0491951
067	000349	0496794
067	000349	0515494
067	000349	0522862
067	000349	0523449
067	000349	0524017
067	000349	0524843
067	000349	0524850
067	000349	0528729
067	000349	0550541
067	000349	0551994
067	000349	0552331
067	000349	0571505
067	000349	0582551
067	000349	0583377
067	000349	0583385
067	000349	0585091
067	000349	0585224
067	000349	0587576
067	000349	0587840
067	000349	0589820
067	000349	0599803
067	000349	0600668
067	000349	0601724
067	000349	0608067
067	000349	0613810
067	000349	0617183
067	000349	0618579
067	000349	0633735
067	000349	0633990
067	000349	0638973
067	000349	0639880
067	000349	0644799
067	000349	0644948
067	000349	0645150
067	000349	0652297
067	000349	0652305
067	000349	0654459
067	000349	0655902
067	000349	0655936
067	000349	0655944
067	000349	0656025
067	000349	0656082
067	000349	0656140
067	000349	0656181
067	000349	0656199
067	000349	0659185
067	000349	0661587
067	000349	0661751
067	000349	0666529
067	000349	0666842
067	000349	0668715
067	000349	0669457
067	000349	0670018
067	000349	0676627
067	000349	0679142
067	000349	0679282
067	000349	0679290
067	000349	0682591
067	000349	0684936
067	000349	0689539
067	000349	0694125
067	000349	0694547
067	000349	0694638
067	000349	0694661
067	000349	0694679
067	000349	0694778
067	000349	0695734
067	000349	0695767
067	000349	0698159
067	000349	0698191
067	000349	0698639
067	000349	0700898
067	000349	0700922
067	000349	0704742
067	000349	0712125
067	000349	0713305
067	000349	0713461
067	000349	0713578
067	000349	0716191
067	000349	0716589
067	000349	0718361
067	000349	0720763
067	000349	0721613
067	000349	0723056
067	000349	0723338
067	000349	0724856
067	000349	0725481
067	000349	0725648
067	000349	0728295
067	000349	0729079
067	000349	0745554
067	000349	0745620
067	000349	0745646
067	000349	0746123
067	000349	0747717
067	000349	0749788
067	000349	0749853
067	000349	0751180
067	000349	0753665
067	000349	0753707
067	000349	0754218
067	000349	0755199
067	000349	0755488
067	000349	0755785
067	000349	0757575
067	000349	0758615
067	000349	0761940
067	000349	0763482
067	000349	0766691
067	000349	0767830
067	000349	0768390
067	000349	0768705
067	000349	0768853
067	000349	0774992
067	000349	0775973
067	000349	0776310
067	000349	0778209
067	000349	0778217
067	000349	0778886
067	000349	0779330
067	000349	0779694
067	000349	0779991
067	000349	0780130
067	000349	0780411
067	000349	0781179
067	000349	0781609
067	000349	0783225
067	000349	0784140
067	000349	0794818
067	000349	0796052
067	000349	0798314
067	000349	0803064
067	000349	0804385
067	000349	0804906
067	000349	0806661
067	000349	0807958
067	000349	0808063
067	000349	0808121
067	000349	0809939
067	000349	0816215
067	000349	0817833
067	000349	0817858
067	000349	0818013
067	000349	0820142
067	000349	0823252
067	000349	0823260
067	000349	0823500
067	000349	0823575
067	000349	0823716
067	000349	0823765
067	000349	0825034
067	000349	0826917
067	000349	0827691
067	000349	0830018
067	000349	0830745
067	000349	0832972
067	000349	0833012
067	000349	0833475
067	000349	0833509
067	000349	0833640
067	000349	0833871
067	000349	0833889
067	000349	0833897
067	000349	0834697
067	000349	0835504
067	000349	0836213
067	000349	0836494
067	000349	0838805
067	000349	0838896
067	000349	0842625
067	000349	0845388
067	000349	0846022
067	000349	0846402
067	000349	0846469
067	000349	0847756
067	000349	0847962
067	000349	0848234
067	000349	0848259
067	000349	0849737
067	000349	0850206
067	000349	0850487
067	000349	0851147
067	000349	0855296
067	000349	0855700
067	000349	0855734
067	000349	0860080
067	000349	0863431
067	000349	0864363
067	000349	0865949
067	000349	0867325
067	000349	0867895
067	000349	0867960
067	000349	0868141
067	000349	0868430
067	000349	0868620
067	000349	0868638
067	000349	0871475
067	000349	0871715
067	000349	0871764
067	000349	0871848
067	000349	0871962
067	000349	0872036
067	000349	0872044
067	000349	0872127
067	000349	0875567
067	000349	0893719
067	000349	0896654
067	000349	0898163
067	000349	0898171
067	000349	0898189
067	000349	0899831
067	000349	0906818
067	000349	0907519
067	000349	0915132
067	000349	0915157
067	000349	0916072
067	000349	0916395
067	000349	0916429
067	000349	0916437
067	000349	0916890
067	000349	0917039
067	000349	0917070
067	000349	0917237
067	000349	0917989
067	000349	0920397
067	000349	0924761
067	000349	0926071
067	000349	0927582
067	000349	0927616
067	000349	0927632
067	000349	0927681
067	000349	0927723
067	000349	0927749
067	000349	0927772
067	000349	0927806
067	000349	0927814
067	000349	0927905
067	000349	0927913
067	000349	0927921
067	000349	0927939
067	000349	0928077
067	000349	0928127
067	000349	0928143
067	000349	0929901
067	000349	0930412
067	000349	0930628
067	000349	0930636
067	000349	0930669
067	000349	0930727
067	000349	0931691
067	000349	0933218
067	000349	0933267
067	000349	0933382
067	000349	0934679
067	000349	0935072
067	000349	0937391
067	000349	0939793
067	000349	0940288
067	000349	0940403
067	000349	0944918
067	000349	0945253
067	000349	0947267
067	000349	0950857
067	000349	0951178
067	000349	0954131
067	000349	0954149
067	000349	0954156
067	000349	0955054
067	000349	0962803
067	000349	0963793
067	000349	0966317
067	000349	0966424
067	000349	0966432
067	000349	0966440
067	000349	0966457
067	000349	0966754
067	000349	0970293
067	000349	0971309
067	000349	0973693
067	000349	0974261
067	000349	0982504
067	000349	0982561
067	000349	0982801
067	000349	0983387
067	000349	0983742
067	000349	0984047
067	000349	0984401
067	000349	0990614
067	000349	0993444
067	000349	0993501
067	000349	0997288
067	000349	0999318
067	000349	0999391
067	000349	1000256
067	000349	1000280
067	000349	1000306
067	000349	1000314
067	000349	1000371
067	000349	1000454
067	000349	1000694
067	000349	1002310
067	000349	1002328
067	000349	1002351
067	000349	1002377
067	000349	1002724
067	000349	1002864
067	000349	1002997
067	000349	1003656
067	000349	1003664
067	000349	1003797
067	000349	1004233
067	000349	1004449
067	000349	1004639
067	000349	1005172
067	000349	1005826
067	000349	1005867
067	000349	1005875
067	000349	1005883
067	000349	1005909
067	000349	1005933
067	000349	1006410
067	000349	1006691
067	000349	1006725
067	000349	1006733
067	000349	1006824
067	000349	1007251
067	000349	1007285
067	000349	1007293
067	000349	1007335
067	000349	1007343
067	000349	1007350
067	000349	1007368
067	000349	1007384
067	000349	1007483
067	000349	1007491
067	000349	1007509
067	000349	1007517
067	000349	1007566
067	000349	1007574
067	000349	1007848
067	000349	1007871
067	000349	1007897
067	000349	1007921
067	000349	1007954
067	000349	1007970
067	000349	1008010
067	000349	1008036
067	000349	1008051
067	000349	1008119
067	000349	1008135
067	000349	1008168
067	000349	1008200
067	000349	1008283
067	000349	1008374
067	000349	1008416
067	000349	1008432
067	000349	1008465
067	000349	1008473
067	000349	1008481
067	000349	1008499
067	000349	1008507
067	000349	1008515
067	000349	1008580
067	000349	1008598
067	000349	1008630
067	000349	1008648
067	000349	1008655
067	000349	1008663
067	000349	1008697
067	000349	1008739
