P_SyscoID	P_Sys_Opco	P_SyscoProdID0	P_SyscoProdID1	P_SyscoProdID2	P_SyscoProdID3	P_SyscoProdID4	P_SyscoProdID5	P_SyscoProdID6	P_SyscoProdID7	P_SyscoProdID8	P_SyscoProdID9	P_SyscoProdID10	P_SyscoProdID11	P_SyscoProdID12	P_SyscoProdID13	P_SyscoProdID14	P_SyscoProdID15	P_SyscoProdID16	P_SyscoProdID17	P_SyscoProdID18	P_SyscoProdID19	P_SyscoProdID20	P_SyscoProdID21	P_SyscoProdID22	P_SyscoProdID23	P_SyscoProdID24	P_SyscoProdID25	P_SyscoProdID26	P_SyscoProdID27	P_SyscoProdID28	P_SyscoProdID29
268482	067	6311534	6311542	6311559	6311799	6318281	6318737	6319248	6319388	6319875	6320683	6320774	6321681	6322192	6322226	6323018	6323745	6326631	6326656	6329031	6329643	6329676	6330195	6330427	6332373	6332464	6332472	6332811	6332845	6332902	6333074
268516	067	6333306	6333504	6333587	6333777	6334403	6334643	6334718	6334940	6337521	6338032	6338149	6338453	6338578	6338628	6339949	6340269	6340582	6341093	6342646	6343610	6346027	6348015	6348114	6348155	6348171	6348494	6349609	6349658	6349666	6349682
268557	067	6349708	6349732	6349872	6350615	6350748	6351548	6356364	6357552	6357966	6357974	6359350	6359483	6359566	6361422	6364764	6366348	6368484	6369060	6370886	6370944	6371793	6371835	6372320	6372650	6373021	6373575	6375943	6376065	6376297	6376586
268656	067	6383194	6383343	6383376	6383491	6383533	6383939	6384580	6384598	6384978	6385496	6386718	6387104	6388441	6389019	6389050	6389456	6389571	6389662	6389860	6392062	6392138	6392237	6392302	6392336	6392393	6392492	6392609	6392666	6392732	6395628
268664	067	6396634	6396675	6396881	6396931	6396949	6396964	6397137	6397228	6397236	6399612	6400089	6400097	6400121	6403208	6404610	6404743	6404990	6405286	6405864	6406839	6409577	6409627	6409759	6409940	6410054	6410104	6410716	6410898	6416218	6416358
268961	067	6417349	6417679	6420475	6420608	6421531	6422075	6422869	6423776	6424626	6424766	6424972	6425342	6426092	6426217	6427249	6427272	6427298	6429450	6429575	6429583	6431365	6432587	6432611	6432819	6432959	6433171	6433510	6433783	6434815	6435010
269258	067	6435291	6435424	6435457	6435523	6435671	6436281	6437271	6438147	6438253	6438295	6438428	6438741	6439053	6439343	6439822	6439855	6440184	6440382	6440523	6440648	6441075	6442115	6442198	6442271	6445944	6446934	6450472	6453252	6455844	6458376
269324	067	6458616	6458913	6458947	6459077	6459085	6459416	6460430	6460711	6460745	6461552	6462352	6463525	6463707	6464051	6464283	6464358	6464408	6465009	6465181	6465918	6466619	6467054	6467781	6468136	6468144	6468219	6468284	6468466	6469100	6469514
269407	067	6470611	6470843	6471783	6475230	6475321	6475719	6476535	6476832	6477749	6477897	6478549	6479257	6479471	6480743	6481790	6483275	6483358	6483721	6483853	6483986	6484307	6484976	6485080	6485098	6485866	6485940	6487763	6487961	6488134	6488563
269431	067	6488589	6488613	6490296	6491682	6491823	6491872	6491914	6493357	6493977	6496046	6496962	6496996	6497150	6498125	6498133	6499172	6499842	6501183	6501191	6501787	6502264	6503155	6503171	6503247	6503304	6503379	6503551	6503668	6503759	6503809
